STATION,STATION ID,IMPERIAL,METRIC
"NAALEHU 14, HI US",GHCND:USC00516588,0.02,0.5
"NAALEHU 4.6 WSW, HI US",GHCND:US1HIHI0001,0,0
"NAALEHU 5.0 WSW, HI US",GHCND:US1HIHI0010,0.01,0.3
"NAALEHU 5.7 W, HI US",GHCND:US1HIHI0012,0.01,0.3
"NUUANU RES 4 783, HI US",GHCND:USC00516928,0,0
"NUUANU RES 5 775, HI US",GHCND:USC00516933,0,0
"OPIHIHALE NUMBER 2 24.1, HI US",GHCND:USC00517166,0,0
"PAAUHAU MAUKA 217.2, HI US",GHCND:USC00517209,3.1,78.7
"PAAUILO 2.4 SW, HI US",GHCND:US1HIHI0050,1.48,37.6
"PAAUILO 221, HI US",GHCND:USC00517312,0.02,0.5
"PAHOA 2.1 E, HI US",GHCND:US1HIHI0003,0.02,0.5
"PAHOA 2.7 SSE, HI US",GHCND:US1HIHI0051,0.01,0.3
"PAHOA 3.0 SSE, HI US",GHCND:US1HIHI0056,0.01,0.3
"PAIKO DRIVE 723.4, HI US",GHCND:USC00517540,0,0
"PALEHUA CORRAL 731.1, HI US",GHCND:USC00517654,0,0
"PALOLO VLY 718, HI US",GHCND:USC00517664,0,0
"PAPAIKOU MAUKA NUMBER 2 140.4, HI US",GHCND:USC00517724,0.26,6.6
"PAUOA FLATS 784, HI US",GHCND:USC00517810,0,0
"POAMOHO EXPERIMENTAL FRM 855.2, HI US",GHCND:USC00518055,0,0
"PONOHOLO RANCH 178.11, HI US",GHCND:USC00518101,2.21,56.1
"PRINCEVILLE RANCH 1117, HI US",GHCND:USC00518165,0.09,2.3
"PUNCHBOWL CRATER 709, HI US",GHCND:USC00518316,0,0
"PUUKOHOLA HEIAU 98.1, HI US",GHCND:USC00518422,0.2,5.1
"PUUKOLII 457.1, HI US",GHCND:USC00518407,0.4,10.2
"SOUTH KONA 2 2.32, HI US",GHCND:USC00518652,0,0
"UNIVERSITY OF HAWAII 713, HI US",GHCND:USC00518815,0,0
"WAIALAE KAHALA 715, HI US",GHCND:USC00519185,0,0
"WAIALUA 2.0 W, HI US",GHCND:US1HIHN0025,0,0
"WAIANAE 798, HI US",GHCND:USC00519231,0,0
"WAIEHU CAMP 484, HI US",GHCND:USC00519275,3.43,87.1
"WAIHEE 837.5, HI US",GHCND:USC00519281,0.03,0.8
"WAIHEE VLY 482, HI US",GHCND:USC00519315,3.45,87.6
"WAIKAPU 390, HI US",GHCND:USC00519376,3.75,95.3
"WAIKIKI 717.2, HI US",GHCND:USC00519397,0,0
"WAIKOLOA 95.8, HI US",GHCND:USC00519142,0,0
"WAIKOLOA BEACH RSRT 95.9, HI US",GHCND:USC00519144,0,0
"WAIKOLOA VILLAGE 2.7 ENE, HI US",GHCND:US1HIHI0047,0.08,2
"WAILEA 137.4, HI US",GHCND:USC00519432,0.58,14.7
"WAIMEA 947, HI US",GHCND:USC00519629,0,0
"WAIMEA ARBORETUM 892, HI US",GHCND:USC00519603,0.01,0.3
"WILHELMINA RISE 721, HI US",GHCND:USC00519980,0,0
